label,CPI,Compute_Density,Mem_Boundness,Stall_Ratio,Branch_MPKI,Vector_Intensity,Clock_Ratio
HighFreq,218.82206837629,2.271903726067e-08,0.010521669561339,0.58215392549655,1.2041505731522,0.35714285711735,0.66660061238225
HighFreq,1024.0407221717,0.0,0.027236408420512,0.65401473113571,0.45876444903209,0.0,0.6666591400319
HighFreq,1033.7392667675,0.0,0.027271211133424,0.65302138481786,0.58578109429422,0.0,0.66664736455869
HighFreq,1019.8012159683,0.0,0.027040404905756,0.65456813122325,0.47458392316364,0.0,0.66667078078559
HighFreq,1626.1707991848,0.0,0.02757035687958,0.65519091376694,0.96266423832444,0.0,0.66664627797588
HighFreq,1716.9171036999,0.0,0.027533667393847,0.65246205447995,0.78975018713646,0.0,0.66665894321412
HighFreq,1714.1053411073,0.0,0.027890595180684,0.65572527218838,0.79994331830202,0.0,0.66666023391506
HighFreq,1691.1795457466,0.0,0.027224535904414,0.65636288145549,0.75761504587404,0.0,0.66666455565528
HighFreq,1703.3539259619,0.0,0.027370783148265,0.65228952187374,0.80402101356615,0.0,0.66666987157413
HighFreq,1708.1180596995,0.0,0.027351241043488,0.654798397807,0.79486910851671,0.0,0.66669252981145
HighFreq,1725.1831739759,0.0,0.02763779219674,0.65603189612088,0.77282774451603,0.0,0.66666822952345
HighFreq,2132.5728925563,0.0,0.034494230583311,0.81694614954694,0.98384335848863,0.0,0.66664704913921
HighFreq,2160.6332638021,0.0,0.034902012757645,0.81908038395692,1.290746385622,0.0,0.66667934935195
HighFreq,2129.3897042331,0.0,0.034224580710556,0.81944495694134,0.95115600946045,0.0,0.66664906897226
HighFreq,2125.6847130779,0.0,0.03450660514524,0.81737713410815,0.97780523820186,0.0,0.66668426073369
HighFreq,2143.8472512835,0.0,0.034487588470026,0.81839413601631,0.99761030883042,0.0,0.66664966876333
HighFreq,2134.7711961379,0.0,0.033813056126428,0.81902817331392,0.97633456110488,0.0,0.66668573273613
HighFreq,2159.9066349114,0.0,0.033910361451335,0.81747335789125,0.99643185241289,0.0,0.66664065062929
HighFreq,2154.472009491,0.0,0.035278267713821,0.81871480285048,1.1921245095054,0.0,0.66667256145118
HighFreq,2132.1105080756,0.0,0.034409036245625,0.81835476166868,0.95241073636987,0.0,0.66667122524573
HighFreq,2086.0868799702,0.0,0.034518342563258,0.81715641634376,0.98464893371421,0.0,0.66667671053599
HighFreq,2155.2863033814,0.0,0.034865844231604,0.81826454324272,1.0028995002744,0.0,0.66664741559387
HighFreq,2139.2808860236,0.0,0.034659325926032,0.81885657514136,0.97844846029867,0.0,0.66668978145246
HighFreq,2081.8605661404,0.0,0.033900139897409,0.81629812809579,0.96040681278174,0.0,0.66664983226831
HighFreq,2147.683231201,0.0,0.035218486913693,0.81947314579995,1.005097073478,0.0,0.66669140312479
HighFreq,2147.7129303753,0.0,0.034997036090962,0.81816856265793,0.95933287705362,0.0,0.66665804288483
HighFreq,2102.1072224418,0.0,0.034370156098026,0.81671887161863,0.99505834405474,0.0,0.66665835426135
HighFreq,2189.5918913711,0.0,0.034958134320515,0.8177937406632,1.0189067043477,0.0,0.66667245140376
HighFreq,2105.6953163821,0.0,0.034000656936151,0.81880296705027,0.96575229015241,0.0,0.66668233776577
HighFreq,2165.7646017495,0.0,0.034501280766554,0.81629952191138,0.99920006237781,0.0,0.66666003373739
HighFreq,2137.7797723917,0.0,0.035110525745628,0.81871526136663,1.0006328789149,0.0,0.66668725087226
HighFreq,2114.2753808287,0.0,0.034252735510464,0.81822234215014,0.95295288521993,0.0,0.66664640874297
HighFreq,2109.0277123918,0.0,0.034121620671521,0.81711875615138,1.0011783531741,0.0,0.66667778166443
HighFreq,2139.3220530931,0.0,0.034542467066415,0.81872634824875,0.99556701677916,0.0,0.66668161292882
HighFreq,2178.7738691861,0.0,0.034543970203284,0.81859309914365,0.99361125395483,0.0,0.66665747217944
HighFreq,2199.3723841029,0.0,0.035481770833333,0.81615719225933,1.0146865615616,0.0,0.66667056729834
HighFreq,2117.630740428,0.0,0.034478571610101,0.81834949397851,0.9883292435328,0.0,0.66668270633045
HighFreq,2117.104449338,0.0,0.034168995793456,0.81829402363157,0.94858981959854,0.0,0.66664607106342
HighFreq,2164.1274423517,0.0,0.03456733835246,0.81730898805393,1.0215241486577,0.0,0.66666977618495
HighFreq,2152.6299321993,0.0,0.034910756830303,0.81860444858829,1.0017969194027,0.0,0.66666956891364
HighFreq,2096.2110231246,0.0,0.034039865048063,0.81919144199582,0.96713691136721,0.0,0.66669399196285
HighFreq,2159.2062554706,0.0,0.034271778688902,0.81581856294878,0.99622241673193,0.0,0.66667002082695
HighFreq,2143.7009675714,0.0,0.034583887150024,0.81892928109289,1.0004430533522,0.0,0.66664343462844
HighFreq,2155.6195855575,0.0,0.034490886460911,0.81796510843339,0.9629508262693,0.0,0.66666814416808
HighFreq,2137.5281281264,0.0,0.034631072195097,0.81708445839791,1.0090040787707,0.0,0.66667209949614
HighFreq,2074.3212162786,0.0,0.034041529171934,0.81859780892309,0.96534441220483,0.0,0.6666718491354
HighFreq,2179.5841284604,0.0,0.034980745477004,0.81896379960682,0.99978202426796,0.0,0.66666851007749
HighFreq,2148.6182163047,0.0,0.034849305334697,0.81635851942939,0.99135572192759,0.0,0.66669093612881
HighFreq,2102.1703014537,0.0,0.03436135202866,0.81922830323568,0.9811121887772,0.0,0.66664742882863
HighFreq,2169.4284908477,0.0,0.03521509730868,0.8180699775992,0.96903709531854,0.0,0.66666686370899
HighFreq,2183.569971028,0.0,0.034879962729483,0.81727666972658,1.0394980127244,0.0,0.66669044652662
HighFreq,2118.6658869264,0.0,0.035020510560396,0.81788811301472,0.98597597495791,0.0,0.66666058853692
HighFreq,2132.3532220181,0.0,0.03463434885718,0.81920374303476,0.97817865409442,0.0,0.66667931018855
HighFreq,2131.1015154572,0.0,0.034614258880898,0.81635988093764,0.98321431514576,0.0,0.66664366650532
HighFreq,2147.4022484265,0.0,0.035298463441593,0.81930531636489,1.005091317271,0.0,0.66668321402519
HighFreq,2115.1176545243,0.0,0.033601073970872,0.8180841627038,0.94762135758041,0.0,0.66667141509241
HighFreq,2150.1206147141,0.0,0.03551235735994,0.81704014759097,1.0178335913757,0.0,0.6666895570337
HighFreq,2104.2273979752,0.0,0.03388760438179,0.81817716853121,0.9792807757924,0.0,0.66666421928057
HighFreq,2167.249113529,0.0,0.034464721776699,0.81914582066592,0.99122921091797,0.0,0.66665011680577
HighFreq,2177.809967418,0.0,0.035314581748277,0.81636821289118,1.0047566223916,0.0,0.66669489296277
HighFreq,2102.3416574623,0.0,0.03463278705069,0.81718248250899,0.98398156506333,0.0,0.66664178305857
HighFreq,2144.8262901533,0.0,0.033681416587297,0.81808368329337,0.95815850515833,0.0,0.66666698700862
HighFreq,2185.5861322314,0.0,0.035055560250742,0.81666087641259,1.0491314066229,0.0,0.66668421552154
HighFreq,2140.3205323606,0.0,0.03527188866436,0.81804888290851,0.99610690596066,0.0,0.66665304985945
HighFreq,2134.5277332643,0.0,0.034494732857236,0.81896266975558,0.98198554631129,0.0,0.66666777671063
HighFreq,2157.3641287932,0.0,0.035017418094682,0.8167958198958,0.99531969611106,0.0,0.66669303362968
HighFreq,2162.3759943718,0.0,0.035000158580503,0.81868159777903,1.0437480357642,0.0,0.66667257717472
HighFreq,2191.7825479543,0.0,0.035329637087935,0.81824647087982,0.97910559434632,0.0,0.66664906190538
HighFreq,2164.2117823274,0.0,0.034652036640481,0.81657373586905,0.99855123491351,0.0,0.66666211589125
HighFreq,2169.514481015,0.0,0.03449004032468,0.81768478741235,1.0095633710738,0.0,0.66668504405646
HighFreq,2234.9944147565,0.0,0.035150673418235,0.81870147425106,1.0401547416452,0.0,0.66666852084257
HighFreq,2158.941632337,0.0,0.035625145739233,0.81622837430414,0.99606468087066,0.0,0.66664757900056
HighFreq,2100.8216956104,0.0,0.034289844435044,0.81944911138131,0.98051025753802,0.0,0.66668822985627
HighFreq,2164.1999168913,0.0,0.034267921762367,0.81854920404468,0.96671610866466,0.0,0.66664744805221
HighFreq,2153.919395929,0.0,0.035000043082279,0.81681180799612,1.0224860772437,0.0,0.66664638100752
HighFreq,2159.2609506917,0.0,0.035394662581633,0.81820056489814,1.0049412008615,0.0,0.666678006204
HighFreq,2135.6664037316,0.0,0.034254650248887,0.81859560570347,0.97675160323951,0.0,0.66666249081739
HighFreq,2135.4696987387,0.0,0.034864747107419,0.81593093093988,0.98531426114245,0.0,0.66668814057301
HighFreq,2105.0528912954,0.0,0.034542285247531,0.81911064098181,0.98804521429634,0.0,0.66667033629401
HighFreq,2215.9170490709,0.0,0.035363399708654,0.81846175237125,0.98986788957211,0.0,0.66665204844915
HighFreq,2099.6308631261,0.0,0.034247879279935,0.81687742096493,0.99386880931717,0.0,0.66666967836775
HighFreq,2172.187166364,0.0,0.034699593626629,0.81850161051337,1.010864622345,0.0,0.66664962793685
HighFreq,2100.7688624935,0.0,0.034487975011556,0.81913115738741,0.96367991259647,0.0,0.66669460663822
HighFreq,2162.5433174634,0.0,0.035521386943194,0.8157314586875,0.9977593669707,0.0,0.66665496725809
HighFreq,2137.1311398797,0.0,0.033882076694887,0.81886707296881,0.99736979337348,0.0,0.66665652091307
HighFreq,2116.1045921679,0.0,0.033740046164352,0.81856045305294,0.94811871800805,0.0,0.66664607600996
HighFreq,2160.4910806887,0.0,0.034694853534306,0.81661817318338,1.0256055682316,0.0,0.66669170927249
HighFreq,2233.7350036043,0.0,0.036248115955843,0.81862877318315,1.0395753528301,0.0,0.66665540100025
HighFreq,2124.3054989817,0.0,0.03457223060995,0.81958538533687,0.97159156896459,0.0,0.6666618319539
HighFreq,2183.5079164507,0.0,0.034719998136621,0.81614525098217,1.0073894637544,0.0,0.66666788985831
HighFreq,2132.7921950498,0.0,0.034363508644201,0.81891893159263,0.99822821601545,0.0,0.6666919004959
HighFreq,2249.5892503052,0.0,0.035173346852698,0.81816046354953,1.0049527672199,0.0,0.66666883733837
HighFreq,2174.117580726,0.0,0.035284943602647,0.81720459715085,1.0059049811139,0.0,0.66664932733375
HighFreq,2120.441167572,0.0,0.034943462168146,0.8178405222438,1.0037974647752,0.0,0.6666656152813
HighFreq,2118.2548322859,0.0,0.034480615775722,0.81889054081055,0.95191017583504,0.0,0.66666577975271
HighFreq,2168.9307538351,0.0,0.034955690784146,0.81603911884544,1.0007172771235,0.0,0.66667132205931
HighFreq,2118.5064111799,0.0,0.034998064922555,0.81927852172347,1.0056752855299,0.0,0.66667049666451
HighFreq,2168.3556189083,0.0,0.034953550435293,0.81818019717472,0.96860281212864,0.0,0.66669086605047
HighFreq,2162.7477693634,0.0,0.035197051580046,0.81743739377599,1.0295245730501,0.0,0.66665321908704
HighFreq,2162.0966154325,0.0,0.034321399842578,0.81792414546732,1.0062305565406,0.0,0.66666562889949
HighFreq,2156.4916994729,0.0,0.034763579478302,0.81897973034642,0.9863435984,0.0,0.6666688014259
HighFreq,2223.509135331,0.0,0.035601401877472,0.81608704886617,1.02590864076,0.0,0.66664814335693
HighFreq,2157.5737054544,0.0,0.034310242151021,0.81911230824203,1.0126786212611,0.0,0.66666809045406
HighFreq,2182.2144943899,0.0,0.035424135201825,0.81824150449757,0.97478932911216,0.0,0.66669353359194
HighFreq,2172.6558180633,0.0,0.034924313753893,0.81753510313645,1.0313609038893,0.0,0.66665963275738
HighFreq,2213.274706398,0.0,0.034836736922573,0.8179661386599,1.0300788940081,0.0,0.66667813540551
HighFreq,2119.1611431995,0.0,0.034259813950334,0.81912254472237,0.96924415910298,0.0,0.66667131775509
HighFreq,2225.4487962801,0.0,0.035952842310169,0.81609532877295,1.0267153713535,0.0,0.66666744299537
HighFreq,2213.7299458611,0.0,0.034980723702466,0.81914584573604,1.0331859321403,0.0,0.66669182975041
HighFreq,2147.8364990806,0.0,0.035144950365741,0.8183407308328,0.95946201389645,0.0,0.66665050516117
HighFreq,2126.1469793577,0.0,0.035050166844805,0.81715388016579,1.0121256623469,0.0,0.66668890530776
HighFreq,2132.9914642228,0.0,0.035110174384704,0.81869866596589,0.99266452205621,0.0,0.66667158400093
