label,CPI,Math_Intensity,Stall_Ratio,System_BW_Proxy,Branch_MPKI,GFLOPS_Approx,Clock_Ratio
HighFreq,189.6207254218,1.260958158274e-08,0.018167842271828,0.030784199882672,0.10903133311846,1.000630586991e-08,0.31927907901782
HighFreq,1095.7542556193,0.0,0.012712132780979,0.023928502338365,0.15213458655352,0.0,0.31928711649044
HighFreq,1100.1238188949,0.0,0.012867490165962,0.023945797662244,0.091467217317793,0.0,0.31927704423597
HighFreq,1030.5321098297,0.0,0.012737276274376,0.023834995644503,0.090892801030465,0.0,0.31927553735432
HighFreq,1110.0002964861,0.0,0.013011857404012,0.023737120601683,0.06712892389538,0.0,0.3192854285546
HighFreq,1105.1233838022,0.0,0.01313565843539,0.023852070004852,0.086327168830879,0.0,0.31927674509629
HighFreq,1099.2927121099,0.0,0.012808731698664,0.023891080461612,0.055393836327832,0.0,0.31929420183234
HighFreq,1041.8719173281,0.0,0.013009407768976,0.023713928121778,0.084016183617369,0.0,0.31926144783373
HighFreq,1177.5099383525,0.0,0.013115584524199,0.023872090625107,0.032633396424566,0.0,0.31928805385233
HighFreq,1102.9984768935,0.0,0.012910383970424,0.023918078283593,0.050029044639805,0.0,0.31928224176083
HighFreq,1179.0011199007,0.0,0.01262234331766,0.023895766100821,0.026735029126329,0.0,0.31926985219461
HighFreq,1034.0825624723,0.0,0.012965263324456,0.023774275441565,0.09120045860802,0.0,0.31928518150184
HighFreq,1168.9024800299,0.0,0.01306703530409,0.023840101281152,0.032387901057907,0.0,0.31927678672316
HighFreq,1108.0846820373,0.0,0.012689594776402,0.023724036633895,0.058659545584054,0.0,0.31928314636748
HighFreq,1154.6333344968,0.0,0.013631839579863,0.023828128898908,0.023268530475958,0.0,0.31928498824046
HighFreq,1103.6084870366,0.0,0.013013267982654,0.023834791898946,0.047286189929154,0.0,0.31927638113477
HighFreq,1089.9312743561,0.0,0.013321449340352,0.023824887026849,0.054925589557547,0.0,0.31928283248406
HighFreq,1028.0325197144,0.0,0.01302510236242,0.023934811762053,0.072536605079635,0.0,0.31927807378639
HighFreq,1100.7640304849,0.0,0.01277817358509,0.023940103703798,0.06378753757918,0.0,0.31927660450084
